	C	FDR_C	I	FDR_I	G	FDR_G	FDR
0610009B22Rik	0.43033394486286136	0.4519175142761953	0.9212945523986873	0.9663632326005928	0.34437981328380307	0.4082479785105234	0.5509704515244743
0610009O20Rik	0.022303411003408047	0.044584072709586996	0.38988946234615574	0.6093344244864403	0.1608359997162745	0.2553519055767618	0.27833569069402353
0610010F05Rik	0.3625544388793659	0.4015060656692466	0.43266768220046503	0.6462973502869446	0.3896782870174592	0.43729472451718765	0.6687219059441427
0610010K14Rik	0.015292224570924662	0.032378675144877	0.013551756522716854	0.04527571161476388	0.021437228069501657	0.053669749068228606	0.18219330056453628
0610012G03Rik	0.0031387567713936854	0.008267924086797506	0.007426258636829938	0.026981797694585304	0.001177686663595634	0.004222521630652623	0.23092349835422654
0610037L13Rik	0.0009475808856692367	0.002829172790576737	0.20699554018385213	0.39821250184264706	0.15379431052346515	0.24681140661962578	0.19821180169191044
0610040B10Rik	0.012480660170538137	0.02730577351943434	0.28304041751601106	0.4953586446221454	0.15044860031523488	0.24351599512536945	0.33502327365856976
1110004E09Rik	0.19343143193252021	0.25404565091901427	0.14675906180168655	0.3134891704858438	0.2146756250255628	0.3078598638409908	0.8486243380384332
1110004F10Rik	0.026269653402902195	0.051206750287455464	0.9820707522767936	0.9913565827369554	0.3111961638625905	0.3858548917739497	0.5493421901475312
1110008F13Rik	0.3808270043880767	0.41550712431891784	0.8749883949875429	0.9428206820412287	0.0423568694386981	0.0944379894493294	0.22071188773517386
1110008P14Rik	3.925986795864859e-111	2.0141751106115054e-109	3.724401084367678e-125	2.339449117033261e-123	0.0	0.0	1.8087641994055662e-84
1110012L19Rik	0.2071560438093159	0.26815570406427836	0.3815204624865527	0.6020159439461723	0.22321711531875477	0.3159250252723437	0.973766951790649
1110032A03Rik	0.08402189319705905	0.13226193276112155	0.9732258172396779	0.9864128861327682	0.2963283087575903	0.37536835703450877	0.8677588764995011
